DCN2-6000;25;LSN037002T9
DCN3-10265;63;LSN030005T9
DCN4-7059;5;LSM177015A7
DCN3-5174;724;LSM098015T9;LSM022017U2
DCN4-9612;12;LSM074095A7
DCN3-1642-1;50;LSM038060T9
DCN4-10025;8;LSM037186T9
DCN3-10946;42;LSM099094T1
DCN4-5762;285;LSM037194U2
DCN4-9519;105;LSN034104T9;LSM038077T9
DCN4-6870;10000;SPN023023A7
DCN4-7790;19;LSM170003A7
DCN4-10981;63;LSN062001T9
DCN4-10564;40;LSM177011T9
DCN2-342;45;LSM134002T9
DCN3-9727;34;LSM099078T1
DCN4-8979;100;LSM074094A7
DCN4-7569;70;LSN044001A7;LSN006001GL
DCN4-3547;140;LSN034072A7
DCN2-5712;100;LSN023015T9
DCN4-2027;2;LSM099079T1
DCN3-11032;50;LSM074231A7
DCN4-3220;150;LSM078009A7
DCN4-10167;60;LSM037250T9
DCN4-5267;70;LSN059008A7
DCN4-5912;7;LSN029044A7
DCN4-4480;3;LSN023016A7
DCN4-6434;10;LSM107060A7
DCN4-880;22;LSM099081T1
DCN4-9336;85;LSM038062T9
DCN3-10971;30;LSN036032GL;LSM122065T9
DCN3-6909;68;LSM210022A7
DCN4-4704;35;LSN059010T9
DCN4-3546;249;LSN034010A7
DCN4-2013;100;LSN034003A7
DCN3-10394;9;LSN030006A7;LSM074091A7
DCN3-10092;8;LSM241009A7
DCN3-10610;11;LSM038059T9
DCN4-7006-2;24;LSN034154A7
DCN4-7548;9;LSN034001U8;LSM079056U8
DCN4-1053-2;6;LSN034153U8
DCN4-7778;130;LSM154002T9
DCN4-10245;49;LSM119001T1
DCN4-8561;104;LSM107043SS
DCN1-10909;19;LSM078008A7
DCN4-7048;10;LSM177014A7
DCN4-298-2;4;LSN036033GL
DCN2-1960;21;LSN034152T9
DCN3-8823;1;LSM074092A7
DCN4-10304;530;LSM037187T9
DCN4-3858;30;QTN041001U8
DCN4-9927;114;LSN034002A7;LSM074096A7
DCN4-5750;2;LSM137003T9
DCN4-5703;100;LSM133006T1
DCN4-7025;86;LSN059009A7
DCN3-11054;10;LSN058001T1
DCN3-6690;32;LSM122066T1
DCN4-7046;5;LSN027017A7
DCN3-7664;5;LSM122068T1
DCN3-8215;1;LSM115015A7
DCN4-10379;25;LSM037236T9
DCN3-9518;16;LSM037038T9
DCN4-7677;7;LSN036049GL
DCN0E-10338;9;LSN042005T9
DCN4-9102;15;LSM107050SS
DCN4-298-3;2;LSM074229U8
